BuyerID,BuyerName,BuyerAge,BuyerGender,BuyerSalary
84,Jeanne Lawrence,28,male,10399.17
85,Karen Johnson,52,male,4795.11
86,Caitlin Taylor,73,male,7742.41
87,Thomas Cabrera,39,female,8580.62
88,Amanda York,46,male,10186.75
89,Victor Blair,21,male,6109.49
90,David Martinez,74,female,7678.37
91,Jacob Sanchez,50,female,4261.33
92,Julian Henry,34,female,4117.04
93,Christy Gross,46,male,8039.62
94,Sherry Mccarthy,25,female,7660.64
95,James Olsen,37,female,5733.51
96,Heather Coleman,18,male,5817.23
97,Jennifer Bruce,15,female,4242.31
98,Peter Rodriguez,15,male,7740.27
99,Jodi Larson,57,male,7931.74
100,Brandon Horn,48,female,5629.79
101,Billy Moss,20,female,7182.29
102,Brian Brown,19,female,9535.85
103,Juan Baxter,62,male,6488.2
104,Ashley Pineda,14,female,9436.8
105,Aaron Erickson,39,male,3943.85
106,Ronald Morton,35,male,5120.53
107,Katie Hodges,63,male,7069.98
108,Sherry Lopez,49,male,9654.65
109,Cindy Camacho,60,female,6317.72
110,Laurie Jones,12,male,4937.28
111,Dana Walker,49,male,7544.69
112,Jacob Keller,30,female,7467.93
113,Sarah Hughes,51,female,7541.84
114,Taylor Reynolds,56,female,9887.89
115,Lonnie Ellis,38,male,4158.81
116,Lisa Howell,69,male,8822.33
117,Nicole Farrell,60,male,6892.07
118,Robert Anderson,69,male,8690.19
119,Danielle Miller,25,male,8932.83
120,Martha Sanchez,31,male,9569.06
121,Jason Rogers,36,female,10256.15
122,Larry Barker,42,male,7888.23
123,Jennifer Nelson,35,female,9384.54
124,Kristy Perkins,33,male,10551.66
125,Virginia Boyle,39,male,6500.64
126,Bradley Gamble,52,female,9992.64
127,William Perkins,68,male,6059.15
128,David Martinez,69,male,8350.19
129,Jason Martin,67,female,6622.65
130,Matthew Jackson,26,male,6312.04
131,Kenneth Wood,52,female,8770.34
132,Clinton Meyer,37,female,3512.89
133,Roger Green,38,female,8099.41
134,Shari Hernandez,73,female,10132.66
135,Carrie Cooper,13,female,4379.88
136,Melinda Hall,64,female,8984.46
137,Eileen Wilcox,50,male,8415.26
138,Jessica Hawkins,14,male,4231.56
139,Kristin Johnson,55,female,5527.95
140,Cody Fisher,66,male,4705.03
141,Cole Lyons,16,female,7815.56
142,Joseph Ramos,62,male,8720.92
143,Dr. Kayla Perez,60,female,7675.36
144,Adam Butler,55,male,9060.07
145,Ronald Walker,21,male,3808.1
146,Shannon Norris,25,female,7199.74
147,Gilbert Ross,63,male,4863.03
148,Erin Cannon,50,male,10902.6
149,David Thomas,71,male,7106.55
150,Nicole Oneal,14,male,5187.42
151,Lindsay Fields,39,male,10673.75
152,Megan Medina,72,female,6614.14
153,Steven Andrade,20,male,4350.1
154,Joshua Bennett,26,male,4525.16
155,Amber Petersen,25,male,9845.48
156,Michael Carroll,29,male,3632.76
157,Joshua Walter,43,male,3873.61
158,Christian Terry,68,male,4045.42
159,Whitney Parker,53,female,8042.83
160,Maria Cole,30,male,5979.44
161,Pamela Smith,53,female,8119.43
162,William Wilson,75,male,6987.61
163,Taylor Zhang,63,female,4842.74
164,Chad Moore,59,male,9605.22
165,Richard Webb,65,female,6789.76
166,David Moore,23,female,7394.49
167,Brittany Walker,69,female,3872.81
168,Regina Martin,70,female,8049.79
169,Tyrone Malone,20,male,3649.86
170,Nicole Strong,66,female,5031.38
171,Tiffany Miller,30,male,4084.62
172,Calvin Crane,74,female,4669.21
173,Teresa Ramirez,60,female,3720.47
174,Robert Romero,37,male,9268.93
175,Ashley Kirk,65,male,10387.02
176,Mark Meyer,55,female,10760.31
177,Leonard Kelly,72,male,4966.64
178,Bradley Jackson,69,male,10806.27
179,Audrey Pierce,36,male,7208.38
180,Angela Schwartz,40,male,3957.77
181,Kathleen Bell,46,male,7253.1
182,Vanessa Carroll,47,female,5892.64
183,Julie Moran,63,female,10742.54
184,Timothy Pham,35,female,7863.86
185,Brittany Fox,38,female,7666.34
186,Emma Hunter,50,female,9550.76
187,Barbara Perez,22,male,3584.02
188,Regina Joseph,13,male,7620.76
189,Brandy Murphy,47,female,5408.33
190,James Bowman,74,female,4916.8
191,Lindsey Bryant,49,male,5868.12
192,Jessica Black,26,female,4172.57
193,Jill Simmons,27,male,10630.68
194,Beth Ortega,31,female,5690.51
195,Brian Butler,46,female,7279.4
196,Kelly Payne,30,male,9042.79
197,Earl Cunningham,44,female,10146.09
198,Rodney Larson,59,male,5559.79
199,Jason Johnson,44,male,10943.74
200,Janet Olson,20,male,4526.42
201,Jordan Thomas,48,male,4912.18
202,Katelyn Brown,15,female,3574.12
203,Christy Blair,20,male,3872.82
204,David Garrett,61,male,5897.81
205,Matthew Harris,50,female,7474.81
206,Melissa Sellers,34,male,7042.63
207,Kimberly Gomez,37,male,6142.57
208,Tyler Garcia,59,male,10712.26
209,Jennifer Lewis,73,female,7585.51
210,Jason Arellano,65,female,8109.23
211,Kristy Logan,70,male,7655.72
212,Charles Ruiz,13,male,5920.35
213,Yvonne Chang,73,female,5000.64
214,Charles Wiggins,72,female,6626.82
215,Michael Garcia,22,male,6004.41
216,Sarah Rodriguez,41,male,5087.22
217,Timothy Owens,69,male,7065.35
218,John Johnson,16,male,5106.35
219,Seth Flores,63,female,8960.13
220,Kathryn Aguilar,62,male,3886.25
221,Kayla Smith,71,male,7396.13
222,Gregory Martin,35,female,10433.82
223,Aaron Whitaker,52,male,4941.34
224,Nancy Romero,71,female,8689.99
225,Daniel Turner,71,female,10129.06
226,Thomas Maynard,30,male,7933.73
227,Matthew Hunter,22,male,4949.36
228,Aaron Flores,45,male,3725.97
229,Alisha Rich,32,female,4568.94
230,Chelsea Barry,59,male,10441.04
231,Mary Horton,56,female,10229.92
232,Donald Bruce,23,female,7364.1
233,Rebecca Decker,62,male,5523.28
234,William Joseph,75,male,5692.88
235,Robert Roberts,48,female,6117.67
236,Ronald Miller,32,male,5242.4
237,Amber Anderson,15,female,10161.25
238,Aaron Garcia,32,female,8970.35
239,Stephen Oneill,72,male,8062.17
240,Carrie Gonzalez,19,female,5307.89
241,Shawn Wilson,62,male,6336.16
242,Gabriel Moore,52,male,9992.75
243,Bob Garrison,70,female,7340.61
244,Victoria Snyder,34,female,4619.21
245,Pamela Clark,74,female,5954.78
246,Sheryl Coleman,24,male,8806.62
247,Charles Meyers,32,male,10459.05
248,Sharon Knight,55,female,7416.29
249,Tyler Green,75,female,8625.33
250,Diana Leblanc,25,male,3825.06
251,Lawrence Campos,56,male,7528.92
252,Jane Barrera,20,female,8449.03
253,Kenneth Smith,29,male,6620.45
254,Megan Wilkins,72,male,8971.26
255,John Stark,71,male,10197.45
256,Thomas Schultz,48,female,6476.68
257,Vickie Dillon,34,female,4886.29
258,Alan Terry,73,male,3997.6
259,Patrick Stark,28,male,4241.95
260,Lisa Scott,57,female,3584.21
261,Leslie Kim,50,female,6734.87
262,Brenda Lloyd,38,female,8287.35
263,Kimberly Diaz,41,male,4805.31
264,Joshua Ellis,48,female,9727.82
265,Peggy Wilson,50,female,5976.39
266,Amanda Compton,44,female,6351.9
267,Rachel Hoover,36,female,10811.72
268,Richard Miller,28,male,6245.52
269,Erika Russell,53,female,5079.61
270,Joshua Martinez,36,male,4267.6
271,Sarah Young,15,female,3790.65
272,Julie Hale,44,female,9226.5
273,Sabrina Smith,69,male,9474.14
274,Robin Dixon,36,female,5400.84
275,Eric Hogan,67,male,4218.97
276,Craig Carpenter,33,male,6880.86
277,Linda Macdonald,29,female,8782.8
278,Rodney Harrison,16,female,4764.38
279,Nicholas Morse,21,male,9188.73
280,Kaitlin Choi,62,male,3846.19
281,Jennifer Harper,37,female,7000.09
282,Deborah Garza,37,female,4691.98
283,Cindy Hickman,38,female,4391.89
284,Gregory Tran,73,female,4715.04
285,Timothy Baldwin,37,female,4874.33
286,Andrea Fowler,34,male,4050.9
287,Carol Rogers,23,male,7146.99
288,Brandon Terrell,50,male,3560.15
289,Melissa Gregory,74,female,4601.52
290,Cynthia Cruz,50,male,3555.13
291,Jason White,16,female,7521.84
292,Patricia Baker,58,female,4879.43
293,Tina Guerra,25,female,10882.64
294,Thomas Singh,71,male,10123.42
295,Nicholas Hays,19,female,5792.41
296,Julie Young,75,male,5690.98
297,Joshua Stout,67,male,6202.16
298,Seth Nelson,60,female,3586.74
299,Jodi Martin,47,male,3981.88
300,Justin Patrick,66,female,3869.64
301,Ashley Luna,54,female,8480.67
302,Benjamin Davis,33,male,7725.34
303,Vicki Rhodes,66,female,10714.19
304,Alicia Bishop,75,female,10466.01
305,David Stanley,28,female,4989.55
306,Sheena Francis,62,male,10534.98
307,Michele Thomas,61,male,8267.55
308,Dustin Walton,33,male,5931.15
309,David Benton,16,male,7888.66
310,Nicholas Bauer,53,female,8449.71
311,Diana Garcia,23,female,8275.78
312,Bradley Long,13,male,10845.01
313,Samantha Wilson,74,male,8934.64
314,Donna Green,33,male,5263.69
315,Jeffrey James,27,female,5654.25
316,Patricia Graves,70,male,3963.7
317,Jennifer Bell,69,male,9984.05
318,Amy Campbell,35,female,9445.84
319,Joel Smith,67,male,7736.69
320,Jill Morris,47,male,4191.26
321,Emily Daniels,16,male,9555.18
322,Anna Lopez,29,male,10343.03
323,Fernando Mercer,47,female,6644.31
324,Aaron Taylor,49,male,5909.66
325,Tammy Johnson,45,female,5153.78
326,Janice Walker,43,male,7864.99
327,Lydia Morse,29,female,4855.53
328,Linda Esparza,60,female,8557.76
329,Robert Baxter,69,male,5656.6
330,Cynthia Reid,51,male,9032.31
331,Benjamin Lucas,55,male,10903.36
332,Jeffrey Johnson,75,male,4431.28
333,James Park,53,female,7245.1
334,James Lopez,18,female,7881.04
335,Robert Banks,70,female,3881.3
336,John Harris,74,female,10176.79
337,Dwayne Parker,46,female,9408.18
338,Melinda Kelly,63,female,10233.58
339,Kathryn Johnson,36,female,7344.29
340,Nicole Pierce,47,male,7678.94
341,Justin Johnson,62,female,5704.85
342,David Gibson,44,male,4954.14
343,Steven Warren,26,male,8044.34
344,Sierra Gonzales,45,female,10932.84
345,Angela Lewis,42,female,9378.7
346,Amy Cox MD,47,male,9949.83
347,Nicholas Bowen,73,male,9081.84
348,Gregory Mays,39,female,7920.42
349,Joel Goodwin,61,male,6280.64
350,Stephen Steele,75,male,10462.17
351,Russell Reyes,42,male,4346.75
352,Tammy Gentry,64,male,7554.86
353,James Hodges,29,male,4164.34
354,Brandy Sutton,40,female,6939.77
355,Wyatt Mcconnell,57,female,6996.31
356,Melissa Chan,36,female,10579.34
357,Daniel Hall,66,male,10568.55
358,Tina Horton,44,female,8926.98
359,Paul Rodgers,58,female,9138.3
360,Brian Wilson,49,male,9060.06
361,Hailey Martinez,72,female,8861.21
362,Kathy Schaefer,73,female,10100.78
363,Julie Jackson,12,male,8666.18
364,Raymond Davis,49,male,10574.82
365,Colleen Kim,17,male,10429.78
366,Bruce Smith,33,male,6936.71
367,Vanessa Wilson,41,female,6538.74
368,Cindy Jackson,62,male,7414.77
369,Michelle Rice,58,female,7560.54
370,Connor Shea,49,female,9294.53
371,Michelle Pineda,59,female,3659.83
372,Michael Romero,74,female,6051.74
373,Caroline Bush,50,female,9468.6
374,Abigail Smith,51,male,5056.57
375,Matthew Frank,36,male,10072.91
376,Javier Morris,28,female,5572.33
377,Jaclyn Johnson,55,male,9385.05
378,Shannon Barnes,40,female,5754.95
379,John Bautista,22,female,6366.01
380,Jason Sparks,55,male,8441.22
381,Douglas Alvarez,47,female,7435.84
382,Katrina Cain,37,male,4220.41
383,Pamela Lucero,22,female,8062.62
384,Bryan Lindsey,14,female,5786.96
385,John Newman,64,female,5303.27
386,Michael Young,46,female,4716.52
387,Kristin Clark,72,male,7710.19
388,Isaiah Knox,38,male,6290.33
389,Travis Young,64,male,5743.78
390,Robert Love,54,female,7773.26
391,Linda Bullock,35,female,5327.81
392,Steven Kaufman,35,male,6169.94
393,Victoria Kim,27,male,5592.93
394,Jeremy Lucero,53,male,4631.98
395,Steven Smith,73,female,10226.53
396,Dylan Torres,51,male,10095.05
397,Michael Lane,14,female,8547.94
398,Theresa Ruiz,21,female,9954.59
399,Ryan Williams,22,male,7283.96
400,Austin Green,18,male,3977.82
401,Tanya Stone,22,female,7683.11
402,Erin Gonzales,24,male,7142.14
403,Kevin Erickson,59,male,6691.48
404,Johnny Scott,56,male,9195.66
405,Nicole Ryan,38,male,8622.17
406,Ashley Pineda,35,female,9545.01
407,Sonia Gardner,61,male,3609.64
408,Reginald Henry,67,female,8764.74
409,Krista Lopez,48,male,9965.15
410,Gabriel Frazier,68,male,8795.22
411,Jenna Rodriguez,17,female,7344.04
412,Steven Butler,71,male,7309.03
413,Matthew Jones,25,male,8773.77
414,James Bartlett,44,male,7393.83
415,Victor Skinner,14,female,9879.05
416,Dana Novak,44,female,6887.73
417,Crystal Levy,68,female,8503.85
418,Steven Lopez,33,female,9350.65
419,Kyle Martinez,44,male,8738.86
420,Scott Grimes,59,male,10787.97
421,Theresa Walker,16,female,3510.57
422,Melissa Perez,45,male,5470.93
423,David Moran,16,male,9606.55
424,Anthony Watson,48,female,9726.48
425,Richard Park,36,male,9695.23
426,Thomas Miller,42,male,8546.53
427,Benjamin Meza,17,female,8958.66
428,Isaac Thomas,19,female,5862.4
429,Gabrielle Soto,30,female,9451.64
430,Dennis Jackson,15,female,4450.23
431,Lisa Guzman,73,male,6883.22
432,Anthony Parker,49,male,4419.75
433,Cory Collins,30,male,4490.35
434,Justin Schwartz,19,male,8521.1
435,Denise Lynn,45,male,9221.54
436,Carolyn Mathis,63,female,6428.77
437,Tyrone Ferrell,71,female,10517.56
438,Megan Newman,46,female,10849.75
439,Rebecca Castro,46,male,5539.69
440,Daniel Johnson,46,male,4941.69
441,Curtis Gaines,32,female,8531.41
442,Mario Suarez,19,male,4837.86
443,Julia Ponce,13,female,6370.72
444,Paula Lyons,65,male,8863.24
445,James Brock,57,male,8344.8
446,Lauren Gardner,21,male,8333.01
447,Taylor Taylor,42,female,9862.69
448,Sean Hunter,31,female,8616.82
449,Katelyn Kirby,38,male,9984.64
450,Sheila Oneal,26,male,7093.8
451,Charles Haynes,72,female,8758.71
452,Roy Knight,61,male,4012.28
453,Garrett Cooper,26,male,10196.46
454,Todd Villa,18,female,3812.63
455,Tracy Barnes,49,female,4597.43
456,Jennifer Rogers,61,male,8840.11
457,Nathan Dyer,53,female,7949.78
458,Margaret Parks,32,female,8331.82
459,Jessica Fisher,69,male,6885.49
460,Jason Guzman,15,female,6649.89
461,Denise Lopez,35,male,8995.15
462,Karen Patterson,31,male,7727.38
463,Madison Benson,67,male,10240.68
464,Crystal Pacheco,27,female,6641.76
465,Logan Johnson,23,female,6339.28
466,Shannon Reyes,45,male,6773.68
467,Michael Black,22,female,5154.23
468,Nichole Blake,14,male,9666.67
469,Monica Collins,40,male,5610.17
470,Scott Roman,32,male,6053.29
471,Jeremy Moyer,39,male,6141.21
472,Robert Jones,74,female,8488.58
473,Tammy Cook,38,male,6922.39
474,Angela Daniels,50,female,6056.44
475,Matthew Pittman,42,male,8630.32
476,Kathryn Romero,15,male,4577.91
477,Natalie Shannon,19,female,8793.86
478,Patrick Ryan,20,male,4205.96
479,Jared Garcia,45,male,4850.13
480,Rebecca Jackson,56,male,6122.58
481,Morgan Snyder,64,male,8106.72
482,Denise Petty,18,male,8208.34
483,Lauren Murphy,45,male,10458.35
484,Teresa Cook,41,male,4824.79
485,Ryan White,18,male,6202.17
486,Dylan Barron,69,male,3814.22
487,Andrew Flynn,14,female,9268.49
488,Anthony Mendez,55,female,5802.84
489,Brian Kelley,22,male,5168.19
490,Timothy Horn,61,female,3746.57
491,Melody Bates,36,female,9116.16
492,Lauren Cummings,75,male,6279.25
493,Donna Henson,68,female,6880.55
494,Laurie Hancock,19,female,8087.95
495,Laura Downs,57,female,7532.47
496,Claire Davis,64,male,7100.08
497,Richard Parker,69,female,3531.55
498,Carl Pace III,34,male,3613.01
499,Christina Jones,59,male,8195.98
500,Anthony Mcgee,19,male,9335.55
501,Mike Benson,25,male,9500.26
502,Michelle Brady,56,male,7809.83
503,Danielle Li,43,male,4631.69
504,Caitlin Bowen,71,female,7360.03
505,Douglas Ward,22,female,6622.88
506,Lindsey Wright,13,male,10267.03
507,Lisa Lopez,54,female,8982.63
508,Stacy Hall,56,female,10918.11
509,Judy Ramos,37,male,6376.64
510,Megan Murray,65,male,5239.36
511,Richard Pratt,46,male,5427.75
512,Gerald Hudson,61,male,9351.75
513,Rebecca Jones,64,female,3811.68
514,Barbara Alvarez,68,female,9613.34
515,Tyler Gregory,50,female,7515.77
516,Shannon Hubbard,24,female,4291.99
517,Lisa Garcia,70,male,8268.06
518,Glenn Leblanc,12,female,9326.35
519,Ian Roberts,41,male,10715.94
520,Matthew Edwards,62,female,10343.72
521,Luis Richardson,23,male,7198.86
522,Maria Davis DVM,16,female,4517.66
523,Corey Heath,16,female,7198.64
524,Emma Wells,20,male,5610.69
525,Jeremiah Morton,22,female,9223.87
526,Sean Lopez,57,female,3940.24
527,Amanda Gomez,29,male,7073.18
528,Roger Brown,75,female,6888.32
529,Nicholas Munoz,41,male,7941.22
530,Emily Woods,42,female,10434.58
531,Jonathan Miller,69,female,4968.95
532,Michael Hodges,35,female,10890.77
533,Steven Williams,50,female,10315.28
534,Mary Weber,25,female,3965.4
535,Edwin Clark,26,female,8053.09
536,Travis Woods,52,male,5193.6
537,Bryan Gonzalez,18,female,5518.55
538,Emily Stewart,75,female,6423.19
539,Kevin Russell,29,female,9232.97
540,Kevin Johnson,57,female,5396.82
541,Jane Warren,66,male,3972.22
542,Dalton Riley,23,female,10605.61
543,Vickie Steele,29,female,6346.24
544,Roger Hanson,35,female,10886.43
545,Justin Garrison,74,female,7732.53
546,Nicole Johnson,14,male,9151.42
547,Travis Bond,54,female,10485.96
548,Bobby Rose,60,male,7027.82
549,Jamie Garcia,35,female,9387.0
550,Kathy Escobar,56,male,8321.85
551,Kim Gregory,66,female,10310.65
552,Derek Martinez,69,male,4050.01
553,Christie Brooks,13,male,8390.92
554,Daniel Curry,61,male,3815.15
555,Aaron Gutierrez,45,male,6725.35
556,Wayne Oneill,30,male,5387.13
557,Monica Hawkins,14,female,4539.0
558,Margaret Grant,70,male,9006.1
559,Glenda James,68,female,9801.96
560,Taylor Taylor,46,male,8602.53
561,Deborah Davis,50,female,5452.04
562,Barbara Gross,74,male,6564.51
563,Robert Davis,16,female,4325.08
564,Paul Sanchez,16,female,5793.22
565,Megan Morrison,74,female,3934.24
566,Shannon Brooks,19,female,4858.55
567,Anna Johnson,16,female,9268.95
568,Paul Williams,14,male,4934.79
569,Bridget Coffey,32,female,7157.38
570,Rebecca Weber,18,male,9376.47
571,Maria Parsons,48,male,5007.25
572,Yolanda Hammond,42,female,8821.95
573,John Daniels,70,female,6343.62
574,Katelyn Garza,36,female,4119.2
575,Janet Vance,64,male,9421.67
576,Sherry Bradley,62,female,9589.3
577,Cynthia Curry,70,male,5204.44
578,Justin Nguyen,70,male,4364.71
579,Karen Rogers,31,male,7222.38
580,Melinda Smith,14,male,8937.59
581,Julia Conrad,37,female,5523.31
582,Timothy Reyes,22,male,3691.99
583,Ryan Davis,59,male,9473.68
584,Troy Bailey,47,female,6444.57
585,Michael May,59,female,9429.97
586,Elizabeth Wood,66,female,9576.19
587,Danielle Koch,52,female,8116.74
588,Kayla Garcia,74,male,10943.22
589,Shari Mayer,41,female,9267.94
590,Brenda Clark,74,female,6991.14
591,Ashley Lynch,73,female,7034.74
592,Carol Smith,24,female,4416.14
593,Kristine White,14,male,5222.73
594,John Howell,56,male,10884.68
595,Jillian Martin,62,female,7009.87
596,Amanda Savage,19,female,7970.58
597,Krista Mitchell,18,male,9973.41
598,Meredith Holmes,68,female,9507.83
599,Daniel Delacruz,58,male,8628.49
600,Gina Fowler,56,male,5981.99
601,Diana Mata,71,female,6017.25
602,Jennifer King,25,female,5526.53
603,Robert Lyons,65,female,5072.48
604,Terrance Nguyen,53,female,6273.18
605,Debra Wright,47,female,10435.38
606,James Blevins,45,male,7344.01
607,Angela Prince,54,male,3938.34
608,Kevin Jones,59,female,4613.47
609,Ashley Hart,36,male,9847.22
610,Katie Benitez,72,male,8224.34
611,Austin Simmons,59,female,4351.33
612,Paul Thomas,71,male,7386.75
613,John Sherman,56,male,8489.65
614,Steven Houston,25,male,6435.83
615,Desiree Benitez,12,male,9524.16
616,Timothy Mahoney,34,male,8218.93
617,Kimberly Ortega,27,male,4212.55
618,David Briggs,74,male,3623.24
619,Chad Gomez,21,male,8651.35
620,Brian Lopez,31,male,6253.52
621,Nathan Odom,39,female,9891.3
622,Jennifer Brown,22,female,8678.35
623,Phillip Ho,12,female,4536.13
624,Kristine Bender,50,male,4337.62
625,Jesse Johnson,16,female,6314.14
626,Mary Boyer,70,female,9565.52
627,Michelle Harmon,67,female,4692.05
628,Maxwell Burns,69,female,3562.3
629,Ryan Mcintyre,41,male,3686.42
630,Craig Evans,54,female,5624.25
631,Andrew Woodward,66,male,6631.45
632,Casey Andrews,16,female,7934.81
633,Gina Mullins,14,female,4433.19
634,Evan Padilla,33,male,5826.75
635,Derek Moss,29,female,7602.1
636,Jill Maldonado,57,male,8238.21
637,Nathan Walters,13,male,5087.19
638,Wendy Good,69,female,7901.41
639,Monique Adams,75,female,8457.51
640,Melissa King,74,female,10346.73
641,Derrick Newton,62,female,5649.76
642,Julia Kennedy,42,male,5751.12
643,Tiffany Myers,63,male,4426.53
644,Michael Kaiser,44,female,3559.47
645,Shannon Pierce,23,female,10260.01
646,Karen Avery,28,female,8002.28
647,Philip Valencia,71,male,8632.01
648,Susan Massey,19,male,7901.67
649,Tami Arias,52,female,8736.77
650,Dwayne Obrien,53,male,8047.18
651,Carrie Garcia,38,male,10749.61
652,Craig Powell,62,male,7140.13
653,Scott Marshall,24,female,7648.25
654,Whitney Bradley,44,male,8390.56
655,John Caldwell,35,male,8007.93
656,Ashley Morgan,23,male,6397.57
657,Shannon Bryant,18,male,5320.41
658,Shawn Brown,21,female,9292.02
659,Robert Morrow,44,male,4162.55
660,Lauren Fischer,14,male,9590.55
661,Michael Barton,36,male,7932.8
662,Gordon Garrison,35,female,6457.77
663,Becky Wiley,22,male,9145.18
664,Jenna Scott,69,male,4018.55
665,Daniel Hughes,44,female,7391.96
666,Jonathon Green,73,male,10582.53
667,Martin Sellers,13,female,10659.72
668,Hannah Miller,65,female,7238.21
669,Corey Bonilla,13,female,6824.94
670,Nicole Taylor,14,male,7259.58
671,Rebecca Ruiz,21,male,10643.09
672,Julia Klein,41,male,3587.52
673,Lisa Schneider,34,female,4100.2
674,Alexis Wells,69,female,5432.07
675,Joseph Small,61,male,8436.33
676,Wendy Conner,12,male,5704.5
677,Alison Shea,45,female,7491.1
678,Frank Sanchez,74,male,5909.64
679,Jeremy Jimenez,24,female,6363.7
680,Sharon Jones,42,female,10173.72
681,Linda Moore,67,female,9946.46
682,Jesus Ross,54,male,4514.28
683,Alexandra Boyer,75,male,5977.77
684,Michael Fischer,24,male,10654.66
685,Summer Coleman,20,male,5488.27
686,Eric Griffin,29,male,6881.79
687,Thomas Martinez,72,female,4184.04
688,Kenneth Green,12,male,8871.51
689,Joshua Chapman,54,female,7439.33
690,Wendy Cuevas,45,female,6208.57
691,Katie Ferguson,15,male,10489.33
692,Nicholas Jones,59,female,5169.42
693,Matthew Johnson,12,male,10614.11
694,Molly Smith,43,female,8485.46
695,Jasmin Navarro,43,male,10583.18
696,Jonathan Jones,57,male,8755.71
697,Lori Bridges,36,male,9020.91
698,Brian Williams,54,male,9892.82
699,Amber Jackson,31,male,6528.46
700,David Oneal,49,male,10314.83
701,Martin Johnson,22,female,9060.55
702,Michael Gordon,49,female,4196.46
703,Samuel Owens,63,female,8638.7
704,Jeremy Santiago,30,female,5416.16
705,Alicia Fowler,12,female,4607.8
706,Kelly Briggs,15,male,4267.1
707,Angela Davis,20,male,4970.34
708,Kimberly Daniel,17,female,10737.39
709,Robert Hamilton,29,female,6486.32
710,Diana Holmes,45,female,8643.75
711,Angela Steele,64,female,9125.03
712,Dennis Jackson,41,female,8629.73
713,Jason Flores,19,female,10342.25
714,Alexis Jimenez,65,male,8699.88
715,April Taylor,31,female,7383.48
716,Mark Medina,29,female,10412.43
717,Sara Moore,60,female,10915.7
718,William Taylor,22,female,8405.86
719,Rebecca Lucas,22,female,10995.9
720,Rachel Terry,64,female,10811.38
721,Shannon Hart,48,female,10548.17
722,Teresa Hopkins,61,male,7497.86
723,Melanie Pittman,61,male,4260.79
724,Travis Reed,23,female,3861.54
725,Renee Taylor,57,female,10747.2
